"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 06 10:57:38 GMT 2022","Sat Aug 06 10:57:38 GMT 2022","222","Отправляем сетевые запросы","","","","","Создать todo (формат body JSON), 201",""
"passed","Sat Aug 06 10:57:37 GMT 2022","Sat Aug 06 10:57:37 GMT 2022","288","Отправляем сетевые запросы","","","","","Получить все todos (предпочтительный формат результата XML), 200",""
"passed","Sat Aug 06 10:57:35 GMT 2022","Sat Aug 06 10:57:35 GMT 2022","195","Отправляем сетевые запросы","","","","","Получить todo по ID, 404",""
"passed","Sat Aug 06 10:57:37 GMT 2022","Sat Aug 06 10:57:38 GMT 2022","217","Отправляем сетевые запросы","","","","","Получить все todos (no accept), 200",""
"passed","Sat Aug 06 10:57:34 GMT 2022","Sat Aug 06 10:57:34 GMT 2022","115","Отправляем сетевые запросы","","","","","Вызвать несуществующий endpoint /todo, 404",""
"passed","Sat Aug 06 10:57:37 GMT 2022","Sat Aug 06 10:57:37 GMT 2022","228","Отправляем сетевые запросы","","","","","Получить все todos (результат в формате XML), 200",""
"passed","Sat Aug 06 10:57:38 GMT 2022","Sat Aug 06 10:57:38 GMT 2022","180","Отправляем сетевые запросы","","","","","Создать todo (формат contentType некорректен), 415",""
"passed","Sat Aug 06 10:57:34 GMT 2022","Sat Aug 06 10:57:35 GMT 2022","453","Отправляем сетевые запросы","","","","","Получить todo по ID, 200",""
"passed","Sat Aug 06 10:57:36 GMT 2022","Sat Aug 06 10:57:36 GMT 2022","405","Отправляем сетевые запросы","","","","","Удалить запись todos/{id}, 200",""
"passed","Sat Aug 06 10:57:35 GMT 2022","Sat Aug 06 10:57:35 GMT 2022","198","Отправляем сетевые запросы","","","","","Отфильтровать todos по doneStatus=true, 200",""
"failed","Sat Aug 06 10:57:34 GMT 2022","Sat Aug 06 10:57:34 GMT 2022","243","Отправляем сетевые запросы","","","","","Получить все todos (результат в формате JSON), 200",""
"passed","Sat Aug 06 10:57:35 GMT 2022","Sat Aug 06 10:57:36 GMT 2022","177","Отправляем сетевые запросы","","","","","Получить ошибку по doneStatus на POST todo, 400",""
"passed","Sat Aug 06 10:57:38 GMT 2022","Sat Aug 06 10:57:38 GMT 2022","226","Отправляем сетевые запросы","","","","","Создать todo (формат body XML), 201",""
"passed","Sat Aug 06 10:57:37 GMT 2022","Sat Aug 06 10:57:37 GMT 2022","238","Отправляем сетевые запросы","","","","","Получить все todos (формат результата any), 200",""
"passed","Sat Aug 06 10:57:35 GMT 2022","Sat Aug 06 10:57:35 GMT 2022","249","Отправляем сетевые запросы","","","","","Создать todo, 201",""
"passed","Sat Aug 06 10:57:36 GMT 2022","Sat Aug 06 10:57:36 GMT 2022","440","Отправляем сетевые запросы","","","","","Обновить данные в todos/{id}, 200",""
"passed","Sat Aug 06 10:57:38 GMT 2022","Sat Aug 06 10:57:39 GMT 2022","190","Отправляем сетевые запросы","","","","","Создать todo c Content-Type ""application/xml"", но Accept ""application/json"", 400",""
"passed","Sat Aug 06 10:57:35 GMT 2022","Sat Aug 06 10:57:35 GMT 2022","189","Отправляем сетевые запросы","","","","","Получить HEAD /todos, 200",""
"passed","Sat Aug 06 10:57:39 GMT 2022","Sat Aug 06 10:57:39 GMT 2022","183","Отправляем сетевые запросы","","","","","Создать todo c Content-Type ""application/json"", но Accept ""application/xml"", 400",""
"passed","Sat Aug 06 10:57:36 GMT 2022","Sat Aug 06 10:57:37 GMT 2022","180","Отправляем сетевые запросы","","","","","Получить OPTIONS /todos, 200",""
"passed","Sat Aug 06 10:57:33 GMT 2022","Sat Aug 06 10:57:34 GMT 2022","282","Отправляем сетевые запросы","","","","","Получить список заданий, 200",""
"passed","Sat Aug 06 10:57:38 GMT 2022","Sat Aug 06 10:57:38 GMT 2022","228","Отправляем сетевые запросы","","","","","Получить все todos (некорректный header), 406",""
