"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 04 20:53:13 GMT 2022","Sun Sep 04 20:53:13 GMT 2022","203","Отправляем сетевые запросы","","","","","#26 - Получить ошибку ""500 Internal Server Error"" для метода PATCH в /heartbeat, 500",""
"passed","Sun Sep 04 20:53:05 GMT 2022","Sun Sep 04 20:53:05 GMT 2022","345","Отправляем сетевые запросы","","","","","#06 - Получить todo по ID, 404",""
"passed","Sun Sep 04 20:53:13 GMT 2022","Sun Sep 04 20:53:14 GMT 2022","349","Отправляем сетевые запросы","","","","","#28 - Получить ответ ""204 No Content"" для метода GET в /heartbeat, 204",""
"passed","Sun Sep 04 20:53:17 GMT 2022","Sun Sep 04 20:53:18 GMT 2022","754","Отправляем сетевые запросы","","","","","#37 - Получить данные в /secret/note c Bearer token, 200",""
"passed","Sun Sep 04 20:53:10 GMT 2022","Sun Sep 04 20:53:11 GMT 2022","395","Отправляем сетевые запросы","","","","","#19 - Получить все todos (некорректный header), 406",""
"passed","Sun Sep 04 20:53:07 GMT 2022","Sun Sep 04 20:53:07 GMT 2022","776","Отправляем сетевые запросы","","","","","#11 - Обновить данные в todos/{id}, 200",""
"passed","Sun Sep 04 20:53:08 GMT 2022","Sun Sep 04 20:53:09 GMT 2022","440","Отправляем сетевые запросы","","","","","#13 - Получить OPTIONS /todos, 200",""
"passed","Sun Sep 04 20:53:04 GMT 2022","Sun Sep 04 20:53:05 GMT 2022","792","Отправляем сетевые запросы","","","","","#05 - Получить todo по ID, 200",""
"passed","Sun Sep 04 20:53:15 GMT 2022","Sun Sep 04 20:53:15 GMT 2022","385","Отправляем сетевые запросы","","","","","#32 - Получить ошибку ""401 Unauthorized"" в GET /secret/note, 401",""
"passed","Sun Sep 04 20:53:16 GMT 2022","Sun Sep 04 20:53:17 GMT 2022","784","Отправляем сетевые запросы","","","","","#34 - Создать заметку в /secret/note, 200",""
"passed","Sun Sep 04 20:53:14 GMT 2022","Sun Sep 04 20:53:15 GMT 2022","363","Отправляем сетевые запросы","","","","","#31 - Получить ошибку ""403 Forbidden"" в GET /secret/note, 403",""
"passed","Sun Sep 04 20:53:17 GMT 2022","Sun Sep 04 20:53:17 GMT 2022","353","Отправляем сетевые запросы","","","","","#35 - Получить ошибку ""401 Unauthorized"" в POST /secret/note, 401",""
