"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 30 13:05:48 GMT 2022","Sat Jul 30 13:05:48 GMT 2022","5","Это демо сьют","","","","","Калькулятор",""
"passed","Sat Aug 06 11:01:05 GMT 2022","Sat Aug 06 11:01:06 GMT 2022","1018","Отправляем сетевые запросы","","","","","Получить все todos (результат в формате XML), 200",""
"passed","Sat Aug 06 11:01:07 GMT 2022","Sat Aug 06 11:01:08 GMT 2022","1097","Отправляем сетевые запросы","","","","","Получить все todos (предпочтительный формат результата XML), 200",""
"passed","Sat Aug 06 11:01:13 GMT 2022","Sat Aug 06 11:01:15 GMT 2022","1102","Отправляем сетевые запросы","","","","","Создать todo c Content-Type ""application/xml"", но Accept ""application/json"", 400",""
"passed","Sat Aug 06 11:00:58 GMT 2022","Sat Aug 06 11:00:59 GMT 2022","932","Отправляем сетевые запросы","","","","","Отфильтровать todos по doneStatus=true, 200",""
"failed","Sat Aug 06 11:00:51 GMT 2022","Sat Aug 06 11:00:52 GMT 2022","1063","Отправляем сетевые запросы","","","","","Получить все todos (результат в формате JSON), 200",""
"passed","Sat Aug 06 11:01:06 GMT 2022","Sat Aug 06 11:01:07 GMT 2022","1025","Отправляем сетевые запросы","","","","","Получить все todos (формат результата any), 200",""
"passed","Sat Aug 06 11:01:00 GMT 2022","Sat Aug 06 11:01:02 GMT 2022","2115","Отправляем сетевые запросы","","","","","Обновить данные в todos/{id}, 200",""
"passed","Sat Aug 06 11:00:56 GMT 2022","Sat Aug 06 11:00:57 GMT 2022","985","Отправляем сетевые запросы","","","","","Получить HEAD /todos, 200",""
"passed","Sat Aug 06 11:00:59 GMT 2022","Sat Aug 06 11:01:00 GMT 2022","1066","Отправляем сетевые запросы","","","","","Получить ошибку по doneStatus на POST todo, 400",""
"failed","Tue Jun 21 12:50:21 GMT 2022","Tue Jun 21 12:50:22 GMT 2022","749","Отправляем сетевые запросы","","","","","Создать todo (формат body некорректен), 415",""
"passed","Sat Aug 06 11:00:54 GMT 2022","Sat Aug 06 11:00:56 GMT 2022","1131","Отправляем сетевые запросы","","","","","Получить todo по ID, 404",""
"passed","Sat Aug 06 11:01:08 GMT 2022","Sat Aug 06 11:01:09 GMT 2022","1026","Отправляем сетевые запросы","","","","","Получить все todos (no accept), 200",""
"broken","Sun Jun 19 18:01:20 GMT 2022","Sun Jun 19 18:01:20 GMT 2022","0","Отправляем сетевые запросы","","","","","""before all"" hook: Создать запись todo for ""Получить список заданий, 200""",""
"passed","Sat Aug 06 11:00:52 GMT 2022","Sat Aug 06 11:00:52 GMT 2022","574","Отправляем сетевые запросы","","","","","Вызвать несуществующий endpoint /todo, 404",""
"broken","Sat Aug 06 10:59:57 GMT 2022","Sat Aug 06 10:59:57 GMT 2022","0","Отправляем сетевые запросы","","","","","""before all"" hook: Получить токен for ""Получить список заданий, 200""",""
"passed","Sat Aug 06 11:00:52 GMT 2022","Sat Aug 06 11:00:54 GMT 2022","2139","Отправляем сетевые запросы","","","","","Получить todo по ID, 200",""
"passed","Sat Aug 06 11:01:10 GMT 2022","Sat Aug 06 11:01:11 GMT 2022","1057","Отправляем сетевые запросы","","","","","Создать todo (формат body XML), 201",""
"passed","Sat Aug 06 11:01:15 GMT 2022","Sat Aug 06 11:01:16 GMT 2022","1312","Отправляем сетевые запросы","","","","","Создать todo c Content-Type ""application/json"", но Accept ""application/xml"", 400",""
"failed","Tue Jun 21 16:25:51 GMT 2022","Tue Jun 21 16:25:51 GMT 2022","556","Отправляем сетевые запросы","","","","","Создать todo c Content-Type ""application/xml"", но Accept ""application/json""",""
"passed","Sat Aug 06 11:01:04 GMT 2022","Sat Aug 06 11:01:05 GMT 2022","1060","Отправляем сетевые запросы","","","","","Получить OPTIONS /todos, 200",""
"passed","Sat Aug 06 11:01:11 GMT 2022","Sat Aug 06 11:01:12 GMT 2022","1035","Отправляем сетевые запросы","","","","","Создать todo (формат body JSON), 201",""
"passed","Sat Aug 06 11:01:02 GMT 2022","Sat Aug 06 11:01:04 GMT 2022","2291","Отправляем сетевые запросы","","","","","Удалить запись todos/{id}, 200",""
"broken","Sat Aug 13 12:16:18 GMT 2022","Sat Aug 13 12:16:20 GMT 2022","1316","Отправляем сетевые запросы","","","","","Получить список заданий, 200",""
"passed","Sat Aug 06 11:01:09 GMT 2022","Sat Aug 06 11:01:10 GMT 2022","997","Отправляем сетевые запросы","","","","","Получить все todos (некорректный header), 406",""
"passed","Sat Aug 06 11:00:57 GMT 2022","Sat Aug 06 11:00:58 GMT 2022","1183","Отправляем сетевые запросы","","","","","Создать todo, 201",""
"passed","Sat Aug 06 11:01:12 GMT 2022","Sat Aug 06 11:01:13 GMT 2022","942","Отправляем сетевые запросы","","","","","Создать todo (формат contentType некорректен), 415",""
