"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 23 13:17:18 GMT 2022","Sat Jul 23 13:17:18 GMT 2022","198","Отправляем сетевые запросы","","","","","Создать todo (формат body XML), 201",""
"passed","Sat Jul 23 13:17:16 GMT 2022","Sat Jul 23 13:17:16 GMT 2022","352","Отправляем сетевые запросы","","","","","Удалить запись todos/{id}, 200",""
"passed","Sat Jul 23 13:17:17 GMT 2022","Sat Jul 23 13:17:17 GMT 2022","201","Отправляем сетевые запросы","","","","","Получить все todos (результат в формате XML), 200",""
"failed","Sat Jul 23 13:17:14 GMT 2022","Sat Jul 23 13:17:15 GMT 2022","212","Отправляем сетевые запросы","","","","","Получить все todos (результат в формате JSON), 200",""
"passed","Sat Jul 23 13:17:16 GMT 2022","Sat Jul 23 13:17:17 GMT 2022","141","Отправляем сетевые запросы","","","","","Получить OPTIONS /todos, 200",""
"passed","Sat Jul 23 13:17:18 GMT 2022","Sat Jul 23 13:17:18 GMT 2022","187","Отправляем сетевые запросы","","","","","Создать todo (формат body JSON), 201",""
"passed","Sat Jul 23 13:17:14 GMT 2022","Sat Jul 23 13:17:14 GMT 2022","235","Отправляем сетевые запросы","","","","","Получить список заданий, 200",""
"passed","Sat Jul 23 13:17:15 GMT 2022","Sat Jul 23 13:17:15 GMT 2022","155","Отправляем сетевые запросы","","","","","Получить todo по ID, 404",""
"passed","Sat Jul 23 13:17:16 GMT 2022","Sat Jul 23 13:17:16 GMT 2022","337","Отправляем сетевые запросы","","","","","Обновить данные в todos/{id}, 200",""
"passed","Sat Jul 23 13:17:15 GMT 2022","Sat Jul 23 13:17:15 GMT 2022","367","Отправляем сетевые запросы","","","","","Получить todo по ID, 200",""
"passed","Sat Jul 23 13:17:15 GMT 2022","Sat Jul 23 13:17:16 GMT 2022","205","Отправляем сетевые запросы","","","","","Создать todo, 201",""
"passed","Sat Jul 23 13:17:15 GMT 2022","Sat Jul 23 13:17:15 GMT 2022","159","Отправляем сетевые запросы","","","","","Получить HEAD /todos, 200",""
"passed","Sat Jul 23 13:17:16 GMT 2022","Sat Jul 23 13:17:16 GMT 2022","139","Отправляем сетевые запросы","","","","","Получить ошибку по doneStatus на POST todo, 400",""
"passed","Sat Jul 23 13:17:17 GMT 2022","Sat Jul 23 13:17:17 GMT 2022","186","Отправляем сетевые запросы","","","","","Получить все todos (формат результата any), 200",""
"passed","Sat Jul 23 13:17:18 GMT 2022","Sat Jul 23 13:17:18 GMT 2022","143","Отправляем сетевые запросы","","","","","Создать todo (формат contentType некорректен), 415",""
"passed","Sat Jul 23 13:17:17 GMT 2022","Sat Jul 23 13:17:18 GMT 2022","197","Отправляем сетевые запросы","","","","","Получить все todos (некорректный header), 406",""
"passed","Sat Jul 23 13:17:15 GMT 2022","Sat Jul 23 13:17:15 GMT 2022","97","Отправляем сетевые запросы","","","","","Вызвать несуществующий endpoint /todo, 404",""
"passed","Sat Jul 23 13:17:16 GMT 2022","Sat Jul 23 13:17:16 GMT 2022","143","Отправляем сетевые запросы","","","","","Отфильтровать todos по doneStatus=true, 200",""
"passed","Sat Jul 23 13:17:17 GMT 2022","Sat Jul 23 13:17:17 GMT 2022","249","Отправляем сетевые запросы","","","","","Получить все todos (предпочтительный формат результата XML), 200",""
"passed","Sat Jul 23 13:17:18 GMT 2022","Sat Jul 23 13:17:18 GMT 2022","214","Отправляем сетевые запросы","","","","","Создать todo c Content-Type ""application/xml"", но Accept ""application/json"", 400",""
"passed","Sat Jul 23 13:17:17 GMT 2022","Sat Jul 23 13:17:17 GMT 2022","202","Отправляем сетевые запросы","","","","","Получить все todos (no accept), 200",""
"passed","Sat Jul 23 13:17:18 GMT 2022","Sat Jul 23 13:17:19 GMT 2022","245","Отправляем сетевые запросы","","","","","Создать todo c Content-Type ""application/json"", но Accept ""application/xml"", 400",""
